date,humidity
2017-03-17 18:06:03,70.3
2017-03-17 18:07:03,70.5
2017-03-17 18:08:02,70.6
2017-03-17 18:09:05,70.2
2017-03-17 18:10:03,71.4
2017-03-17 18:11:02,69.5
2017-03-17 18:12:03,70.1
2017-03-17 18:13:03,70.0
2017-03-17 18:14:03,69.7
2017-03-17 18:15:03,70.9
2017-03-17 18:16:02,70.1
2017-03-17 18:17:03,70.6
2017-03-17 18:18:02,70.3
2017-03-17 18:19:03,69.4
2017-03-17 18:21:14,70.9
2017-03-17 18:22:15,71.2
2017-03-17 18:25:55,69.1
2017-03-17 18:26:03,68.6
2017-03-17 18:27:03,71.1
2017-03-17 18:28:02,70.0
2017-03-17 18:29:08,71.9
2017-03-17 18:30:31,57.6
2017-03-17 18:32:04,70.9
2017-03-17 18:32:16,70.9
2017-03-17 18:33:23,69.8
2017-03-17 18:34:46,71.5
2017-03-17 18:35:59,70.7
2017-03-17 18:37:04,70.0
2017-03-17 18:37:51,71.3
2017-03-17 18:38:06,70.4
2017-03-17 18:39:30,72.3
2017-03-17 18:40:15,69.4
2017-03-17 18:41:03,70.0
2017-03-17 18:42:03,69.6
2017-03-17 18:43:02,70.0
2017-03-17 18:44:03,70.9
2017-03-17 18:45:03,70.2
2017-03-17 18:46:03,70.4
2017-03-17 18:47:06,72.1
2017-03-17 18:48:03,70.5
2017-03-17 18:49:03,70.5
2017-03-17 18:50:03,70.3
2017-03-17 18:51:03,70.6
2017-03-17 18:52:02,71.3
2017-03-17 18:53:03,72.2
2017-03-17 18:54:03,71.3
2017-03-17 18:55:03,71.5
2017-03-17 18:56:03,70.5
2017-03-17 18:57:03,71.8
2017-03-17 18:58:03,70.9
2017-03-17 18:59:02,70.1
2017-03-17 19:00:03,70.7
2017-03-17 19:01:03,71.1
2017-03-17 19:02:03,69.7
2017-03-17 19:03:06,70.8
2017-03-17 19:04:03,71.4
2017-03-17 19:05:02,69.9
2017-03-17 19:06:03,71.4
2017-03-17 19:07:02,71.1
2017-03-17 19:08:03,71.3
2017-03-17 19:09:03,70.7
2017-03-17 19:10:03,70.4
2017-03-17 19:11:03,71.6
2017-03-17 19:12:02,70.3
2017-03-17 19:13:03,70.0
2017-03-17 19:14:02,70.1
2017-03-17 19:15:03,71.4
2017-03-17 19:16:03,71.7
2017-03-17 19:17:03,70.7
2017-03-17 19:18:03,70.7
2017-03-17 19:19:02,69.6
2017-03-17 19:20:03,68.9
2017-03-17 19:21:02,69.7
2017-03-17 19:22:03,71.6
2017-03-17 19:23:03,69.5
2017-03-17 19:24:03,71.5
2017-03-17 19:25:06,69.8
2017-03-17 19:26:03,71.0
2017-03-17 19:27:05,72.4
2017-03-17 19:28:02,71.2
2017-03-17 19:29:03,71.0
2017-03-17 19:30:02,70.1
2017-03-17 19:31:03,70.1
2017-03-17 19:32:03,69.9
2017-03-17 19:33:03,71.1
2017-03-17 19:34:03,71.5
2017-03-17 19:35:02,70.3
2017-03-17 19:36:03,70.2
2017-03-17 19:37:02,71.3
2017-03-17 19:38:03,69.8
2017-03-17 19:39:03,70.6
2017-03-17 19:40:03,71.9
2017-03-17 19:41:03,71.7
2017-03-17 19:42:03,70.6
2017-03-17 19:43:03,70.3
2017-03-17 19:44:02,71.3
2017-03-17 19:45:03,70.6
2017-03-17 19:46:03,72.2
2017-03-17 19:47:03,72.3
2017-03-17 19:48:03,72.1
2017-03-17 19:49:03,71.7
2017-03-17 19:50:03,71.8
2017-03-17 19:51:03,71.9
2017-03-17 19:52:02,71.0
2017-03-17 19:53:03,72.7
2017-03-17 19:54:03,71.1
2017-03-17 19:55:03,71.8
2017-03-17 19:56:03,71.5
2017-03-17 19:57:03,72.2
2017-03-17 19:58:03,71.1
2017-03-17 19:59:03,72.1
2017-03-17 20:00:02,70.7
2017-03-17 20:01:03,72.7
2017-03-17 20:02:03,71.5
2017-03-17 20:03:03,70.9
2017-03-17 20:04:03,72.1
2017-03-17 20:05:03,70.9
2017-03-17 20:06:03,72.1
2017-03-17 20:07:02,71.8
2017-03-17 20:08:03,71.3
2017-03-17 20:09:03,71.0
2017-03-17 20:10:03,71.0
2017-03-17 20:11:03,71.3
2017-03-17 20:12:03,70.4
2017-03-17 20:13:03,71.2
2017-03-17 20:14:02,70.4
2017-03-17 20:15:05,69.9
2017-03-17 20:16:03,70.2
2017-03-17 20:17:03,71.5
2017-03-17 20:18:03,70.5
2017-03-17 20:19:06,71.4
2017-03-17 20:20:03,72.5
2017-03-17 20:21:03,72.3
2017-03-17 20:22:03,72.2
2017-03-17 20:23:02,73.0
2017-03-17 20:24:03,72.5
2017-03-17 20:25:03,71.1
2017-03-17 20:26:03,72.1
2017-03-17 20:27:03,73.3
2017-03-17 20:28:03,71.1
2017-03-17 20:29:02,72.7
2017-03-17 20:30:03,72.8
2017-03-17 20:31:03,72.4
2017-03-17 20:32:03,71.2
2017-03-17 20:33:03,72.2
2017-03-17 20:34:03,72.8
2017-03-17 20:35:03,71.6
2017-03-17 20:36:02,71.3
